agency_cd	site_no	station_nm	dec_lat_va	dec_long_va	coord_acy_cd	dec_coord_datum_cd	alt_va	alt_acy_va	alt_datum_cd	well_depth_va	hole_depth_va
USGS	424810073160401	VT-PQW    1	42.80285667	-73.26733129	S	NAD83	 515.00	  5	NGVD29	17.8	17.8
USGS	424907072325701	VT-VNW  113	42.81869330	-72.54870090	S	NAD83	 236	10	NGVD29	50	50
USGS	425008072333201	VT-BTW  107	42.83563759	-72.55842339	S	NAD83	 374	10	NGVD29	200	200
USGS	425050072335201	VT-BTW  110	42.84730410	-72.56397908	S	NAD83	 375	10	NGVD29	437	437
USGS	425055072344501	VT-BTX    1	42.84869300	-72.57870160	S	NAD83	 361	10	NGVD29		44
USGS	425103072333501	VT-BTW   10	42.85091667	-72.55951110	5	NAD83	 258	 10	NGVD29	25.4	25.5
USGS	425117072355901	VT-BTW   11	42.85483889	-72.59895278	5	NAD83	 436	 10	NGVD29	9.6	11.5
USGS	425144072333001	VT-BTW  111	42.86230400	-72.55786790	S	NAD83	 308	10	NGVD29	120	120
USGS	425200072340701	VT-BTW  112	42.86674839	-72.56814590	S	NAD83	 230	10	NGVD29	36.5	36.5
USGS	425208072341201	VT-BTW    1	42.86897059	-72.56953479	S	NAD83	 236	10	NGVD29	30	30
USGS	425226072341901	VT-BTX    3	42.87397050	-72.57147929	S	NAD83	 225	10	NGVD29		70
USGS	425229072341501	VT-BTX    2	42.87480387	-72.57036820	S	NAD83	 218	10	NGVD29		39
USGS	425232072333401	VT-BTW  109	42.87563720	-72.55897900	S	NAD83	 289	10	NGVD29	580	580
USGS	425237072333601	VT-BTW  102	42.87702608	-72.55953458	S	NAD83	 305	10	NGVD29	500	500
USGS	425241072334701	VT-BTW  106	42.87813718	-72.56259020	S	NAD83	 280	10	NGVD29	205	205
USGS	425243073144701	VT-BIW   13	42.87868960	-73.24594219	T	NAD83					
USGS	425244072343501	VT-BTW  105	42.87897049	-72.57592380	S	NAD83	 256	10	NGVD29	47	47
USGS	425256072334501	VT-BTX   13	42.88230380	-72.56203460	S	NAD83	 285	10	NGVD29		70
USGS	425257072334601	VT-BTW  103	42.88258158	-72.56231240	S	NAD83	 290	10	NGVD29	400	400
USGS	425303072332701	VT-BTX    6	42.88424820	-72.55703450	S	NAD83	 290	10	NGVD29		52
USGS	425305072332601	VT-BTX    5	42.88480379	-72.55675680	S	NAD83	 289	10	NGVD29		52
USGS	425309072331401	VT-BTW  104	42.88591490	-72.55342330	S	NAD83	 262	10	NGVD29	475	475
USGS	425310072333401	VT-BTX    4	42.88619266	-72.55897900	S	NAD83	 323	10	NGVD29		70
USGS	425314072332601	VT-BTW  101	42.88730377	-72.55675680	S	NAD83	 295	10	NGVD29	385	385
USGS	425322072354101	VT-BTW  113	42.88952590	-72.59425760	S	NAD83	 400	10	NGVD29	133	133
USGS	425329072322501	VT-BTX   11	42.89147040	-72.53981190	S	NAD83	 280	10	NGVD29	88	88
USGS	425332072330101	VT-BTW  108	42.89230370	-72.54981220	S	NAD83	 354	10	NGVD29	500	500
